station_region,total_sessions,unique_customers,region,station_count,sessions_per_station,customers_per_station,sessions_per_station_score,customers_per_station_score,expansion_priority_score
London,40760,5939,London,5,8152.0,1187.8,47.1841704718417,8.501547987616096,27.8428592297289
Midlands,50598,6369,Midlands,5,10119.6,1273.8,97.09791983764588,11.6078431372549,54.35288148745039
North East,30439,5646,North East,3,10146.333333333334,1882.0,97.77608658887199,33.575851393188856,65.67596899103043
North West,65789,6667,North West,7,9398.42857142857,952.4285714285714,78.80336304993837,0.0,39.401681524969185
Scotland,20242,4891,Scotland,3,6747.333333333333,1630.3333333333333,11.550820226619306,24.485724114207084,18.018272170413194
South East,25168,5161,South East,4,6292.0,1290.25,0.0,12.202012383900929,6.101006191950464
South West,30401,5675,South West,3,10133.666666666666,1891.6666666666667,97.45476069676981,33.9250085999312,65.6898846483505
Wales,10159,3721,Wales,1,10159.0,3721.0,98.09741248097413,100.0,99.04870624048706
Yorkshire & Humber,20468,4875,Yorkshire & Humber,2,10234.0,2437.5,100.0,53.64035087719298,76.8201754385965
